dataset,Slices Completed,Cumulative Parsing Time
0,46,33:07:28
1,33,23:19:00
2,49,32:06:54
3,108,66:40:21
4,13,11:22:00
5,108,71:47:14
6,8,6:10:21
7,31,22:53:26
8,73,52:04:18
9,108,76:04:57
10,94,70:55:54
11,108,78:01:10
12,21,16:11:53
13,108,78:37:24
14,108,81:18:19
15,108,78:01:53
16,70,50:41:24
17,107,73:08:59
18,5,4:06:52
19,54,40:47:10
20,108,75:09:29
21,67,53:11:43
22,28,22:41:42
23,7,5:33:52
24,39,27:16:59
25,108,65:29:16
26,35,21:28:52
27,15,11:29:13
28,32,23:02:33
29,109,74:26:41
test,3,2:00:57
val,3,2:24:41
Total,1914,1351:42:55
