Data File,Total Completed Slices,Total parsing time
0,46,33:07:28
1,54,38:10:27
2,79,54:07:28
3,108,66:40:21
4,13,11:22:00
5,108,71:47:14
6,50,32:11:13
7,74,48:03:14
8,73,52:04:18
9,108,76:04:57
10,108,81:13:47
11,108,78:01:10
12,21,16:11:53
13,108,78:37:24
14,108,81:18:19
15,108,78:01:53
16,74,53:46:29
17,107,73:08:59
18,44,27:52:51
19,54,40:47:10
20,108,75:09:29
21,87,65:59:56
22,100,35:42:33
23,7,5:33:52
24,75,51:00:19
25,108,65:29:16
26,82,48:24:28
27,58,42:35:04
28,43,29:24:48
29,109,74:26:41
test,3,2:00:57
val,3,2:24:41
Grand Total,2336,1590:50:39

