JobID,JobName,Partition,State,Reason,ExitCode,SystemComment,Priority,Timelimit,Submit,Start,End,Elapsed,ReqMem,MaxRSS,MaxVMSize,MaxPages,TotalCPU,NodeList
501353_29,PuddinPcc,gpu,FAILED,Prolog,9:0,,19371,1-00:00:00,2022-04-12T20:48:05,2022-04-12T20:48:05,2022-04-12T20:51:03,00:02:58,35Gn,,,,01:34.973,nikola-compute-03
501353_29.batch,batch,,FAILED,,9:0,,,,2022-04-12T20:48:05,2022-04-12T20:48:05,2022-04-12T20:51:03,00:02:58,35Gn,4.05G,154.28G,0.00G,01:34.972,nikola-compute-03
501353_29.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T20:48:05,2022-04-12T20:48:05,2022-04-12T20:51:04,00:02:59,35Gn,0.00G,0.08G,0,00:00.001,nikola-compute-03
501353_30,PuddinPcc,gpu,FAILED,Prolog,9:0,,19371,1-00:00:00,2022-04-12T20:48:05,2022-04-12T20:48:05,2022-04-12T20:51:27,00:03:22,35Gn,,,,00:31.610,nikola-compute-03
501353_30.batch,batch,,FAILED,,9:0,,,,2022-04-12T20:48:05,2022-04-12T20:48:05,2022-04-12T20:51:27,00:03:22,35Gn,1.57G,151.68G,0.00G,00:31.608,nikola-compute-03
501353_30.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T20:48:05,2022-04-12T20:48:05,2022-04-12T20:51:27,00:03:22,35Gn,0.00G,0.08G,0,00:00.001,nikola-compute-03
501353_31,PuddinPcc,gpu,COMPLETED,Prolog,0:0,,19371,1-00:00:00,2022-04-12T20:48:05,2022-04-12T20:48:05,2022-04-12T23:17:30,02:29:25,35Gn,,,,02:24:49,sablab-gpu-04
501353_31.batch,batch,,COMPLETED,,0:0,,,,2022-04-12T20:48:05,2022-04-12T20:48:05,2022-04-12T23:17:30,02:29:25,35Gn,2.15G,22.70G,0.00G,02:24:49,sablab-gpu-04
501353_31.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T20:48:05,2022-04-12T20:48:05,2022-04-12T23:17:30,02:29:25,35Gn,0.00G,0.08G,0,00:00.001,sablab-gpu-04
501360_29,PuddinPcc,gpu,FAILED,None,9:0,,19371,1-00:00:00,2022-04-12T21:15:36,2022-04-12T21:15:36,2022-04-13T05:02:21,07:46:45,35Gn,,,,07:25:44,nikola-compute-03
501360_29.batch,batch,,FAILED,,9:0,,,,2022-04-12T21:15:36,2022-04-12T21:15:36,2022-04-13T05:02:21,07:46:45,35Gn,17.83G,168.60G,0.00G,07:25:44,nikola-compute-03
501360_29.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T21:15:36,2022-04-12T21:15:36,2022-04-13T05:02:21,07:46:45,35Gn,0.00G,0.08G,0,00:00.001,nikola-compute-03
501360_30,PuddinPcc,gpu,FAILED,None,1:0,,19371,1-00:00:00,2022-04-12T21:15:36,2022-04-12T21:15:36,2022-04-12T22:11:47,00:56:11,35Gn,,,,52:09.720,nikola-compute-03
501360_30.batch,batch,,FAILED,,1:0,,,,2022-04-12T21:15:36,2022-04-12T21:15:36,2022-04-12T22:11:47,00:56:11,35Gn,4.04G,153.77G,0.00G,52:09.718,nikola-compute-03
501360_30.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T21:15:36,2022-04-12T21:15:36,2022-04-12T22:11:47,00:56:11,35Gn,0.00G,0.08G,0,00:00.001,nikola-compute-03
501363_28,PuddinPcc,gpu,TIMEOUT,None,0:0,,19371,1-00:00:00,2022-04-12T21:26:10,2022-04-12T21:26:10,2022-04-13T21:28:27,1-00:02:17,35Gn,,,,00:01.964,sablab-gpu-01
501363_28.batch,batch,,CANCELLED,,0:15,,,,2022-04-12T21:26:10,2022-04-12T21:26:10,2022-04-13T21:28:29,1-00:02:19,35Gn,9.73G,34.49G,0.00G,00:01.963,sablab-gpu-01
501363_28.extern,extern,,COMPLETED,,0:0,,,,2022-04-12T21:26:10,2022-04-12T21:26:10,2022-04-13T21:28:28,1-00:02:18,35Gn,0.00G,0.08G,0,00:00.001,sablab-gpu-01
