JobID,JobName,Partition,State,Reason,ExitCode,SystemComment,Priority,Timelimit,Submit,Start,End,Elapsed,ReqMem,MaxRSS,MaxVMSize,MaxPages,TotalCPU,NodeList
516439_0,PuddinPcc_2022-04-19,gpu,RUNNING,None,0:0,,18931,3-00:00:00,2022-04-19T22:38:47,2022-04-19T22:38:48,2022-04-20T14:30:14,15:51:26,45Gn,,,,00:00:00,sablab-gpu-04
516439_0.batch,batch,,RUNNING,,0:0,,,,2022-04-19T22:38:48,2022-04-19T22:38:48,2022-04-20T14:30:14,15:51:26,45Gn,,,,00:00:00,sablab-gpu-04
516439_0.extern,extern,,RUNNING,,0:0,,,,2022-04-19T22:38:48,2022-04-19T22:38:48,2022-04-20T14:30:14,15:51:26,45Gn,,,,00:00:00,sablab-gpu-04
516439_4,PuddinPcc_2022-04-19,gpu,OUT_OF_MEMORY,None,0:125,,18931,3-00:00:00,2022-04-19T22:38:47,2022-04-19T22:38:48,2022-04-19T23:20:04,00:41:16,45Gn,,,,40:54.898,hariharan-compute-02
516439_4.batch,batch,,OUT_OF_MEMORY,,0:125,,,,2022-04-19T22:38:48,2022-04-19T22:38:48,2022-04-19T23:20:04,00:41:16,45Gn,45.16G,66.86G,0.00G,40:54.895,hariharan-compute-02
516439_4.extern,extern,,COMPLETED,,0:0,,,,2022-04-19T22:38:48,2022-04-19T22:38:48,2022-04-19T23:20:04,00:41:16,45Gn,0.00G,0.08G,0,00:00.002,hariharan-compute-02
516439_6,PuddinPcc_2022-04-19,gpu,OUT_OF_MEMORY,None,0:125,,18931,3-00:00:00,2022-04-19T22:38:47,2022-04-19T22:38:48,2022-04-20T03:38:21,04:59:33,45Gn,,,,04:59:07,sablab-gpu-02
516439_6.batch,batch,,OUT_OF_MEMORY,,0:125,,,,2022-04-19T22:38:48,2022-04-19T22:38:48,2022-04-20T03:38:21,04:59:33,45Gn,44.91G,71.32G,0.00G,04:59:07,sablab-gpu-02
516439_6.extern,extern,,COMPLETED,,0:0,,,,2022-04-19T22:38:48,2022-04-19T22:38:48,2022-04-20T03:38:21,04:59:33,45Gn,0.00G,0.08G,0,00:00.001,sablab-gpu-02
516439_7,PuddinPcc_2022-04-19,gpu,RUNNING,None,0:0,,18931,3-00:00:00,2022-04-19T22:38:47,2022-04-19T22:38:48,2022-04-20T14:30:14,15:51:26,45Gn,,,,00:00:00,belongie-compute-02
516439_7.batch,batch,,RUNNING,,0:0,,,,2022-04-19T22:38:48,2022-04-19T22:38:48,2022-04-20T14:30:14,15:51:26,45Gn,,,,00:00:00,belongie-compute-02
516439_7.extern,extern,,RUNNING,,0:0,,,,2022-04-19T22:38:48,2022-04-19T22:38:48,2022-04-20T14:30:14,15:51:26,45Gn,,,,00:00:00,belongie-compute-02
516439_8,PuddinPcc_2022-04-19,gpu,RUNNING,None,0:0,,18931,3-00:00:00,2022-04-19T22:38:47,2022-04-19T22:38:48,2022-04-20T14:30:14,15:51:26,45Gn,,,,00:00:00,belongie-compute-02
516439_8.batch,batch,,RUNNING,,0:0,,,,2022-04-19T22:38:48,2022-04-19T22:38:48,2022-04-20T14:30:14,15:51:26,45Gn,,,,00:00:00,belongie-compute-02
516439_8.extern,extern,,RUNNING,,0:0,,,,2022-04-19T22:38:48,2022-04-19T22:38:48,2022-04-20T14:30:14,15:51:26,45Gn,,,,00:00:00,belongie-compute-02
516439_9,PuddinPcc_2022-04-19,gpu,RUNNING,None,0:0,,18931,3-00:00:00,2022-04-19T22:38:47,2022-04-19T22:38:48,2022-04-20T14:30:14,15:51:26,45Gn,,,,00:00:00,belongie-compute-02
516439_9.batch,batch,,RUNNING,,0:0,,,,2022-04-19T22:38:48,2022-04-19T22:38:48,2022-04-20T14:30:14,15:51:26,45Gn,,,,00:00:00,belongie-compute-02
516439_9.extern,extern,,RUNNING,,0:0,,,,2022-04-19T22:38:48,2022-04-19T22:38:48,2022-04-20T14:30:14,15:51:26,45Gn,,,,00:00:00,belongie-compute-02
516439_10,PuddinPcc_2022-04-19,gpu,FAILED,None,1:0,,18931,3-00:00:00,2022-04-19T22:38:47,2022-04-19T22:38:48,2022-04-20T01:51:01,03:12:13,45Gn,,,,03:11:49,camembert
516439_10.batch,batch,,FAILED,,1:0,,,,2022-04-19T22:38:48,2022-04-19T22:38:48,2022-04-20T01:51:01,03:12:13,45Gn,14.06G,30.65G,0.00G,03:11:49,camembert
516439_10.extern,extern,,COMPLETED,,0:0,,,,2022-04-19T22:38:48,2022-04-19T22:38:48,2022-04-20T01:51:01,03:12:13,45Gn,0.00G,0.08G,0,00:00.002,camembert
516439_11,PuddinPcc_2022-04-19,gpu,RUNNING,None,0:0,,18931,3-00:00:00,2022-04-19T22:38:47,2022-04-19T22:38:48,2022-04-20T14:30:14,15:51:26,45Gn,,,,00:00:00,camembert
516439_11.batch,batch,,RUNNING,,0:0,,,,2022-04-19T22:38:48,2022-04-19T22:38:48,2022-04-20T14:30:14,15:51:26,45Gn,,,,00:00:00,camembert
516439_11.extern,extern,,RUNNING,,0:0,,,,2022-04-19T22:38:48,2022-04-19T22:38:48,2022-04-20T14:30:14,15:51:26,45Gn,,,,00:00:00,camembert
516439_12,PuddinPcc_2022-04-19,gpu,OUT_OF_MEMORY,None,0:125,,18931,3-00:00:00,2022-04-19T22:38:47,2022-04-19T22:38:48,2022-04-20T07:28:59,08:50:11,45Gn,,,,08:48:34,camembert
516439_12.batch,batch,,OUT_OF_MEMORY,,0:125,,,,2022-04-19T22:38:48,2022-04-19T22:38:48,2022-04-20T07:28:59,08:50:11,45Gn,45.25G,73.03G,0.00G,08:48:34,camembert
516439_12.extern,extern,,COMPLETED,,0:0,,,,2022-04-19T22:38:48,2022-04-19T22:38:48,2022-04-20T07:28:59,08:50:11,45Gn,0.00G,0.08G,0,00:00.001,camembert
516439_13,PuddinPcc_2022-04-19,gpu,RUNNING,None,0:0,,18931,3-00:00:00,2022-04-19T22:38:47,2022-04-19T22:38:48,2022-04-20T14:30:14,15:51:26,45Gn,,,,00:00:00,camembert
516439_13.batch,batch,,RUNNING,,0:0,,,,2022-04-19T22:38:48,2022-04-19T22:38:48,2022-04-20T14:30:14,15:51:26,45Gn,,,,00:00:00,camembert
516439_13.extern,extern,,RUNNING,,0:0,,,,2022-04-19T22:38:48,2022-04-19T22:38:48,2022-04-20T14:30:14,15:51:26,45Gn,,,,00:00:00,camembert
516453_14,PuddinPcc_2022-04-19,gpu,RUNNING,None,0:0,,19331,3-00:00:00,2022-04-19T22:39:20,2022-04-19T22:39:21,2022-04-20T14:30:14,15:50:53,45Gn,,,,00:00:00,camembert
516453_14.batch,batch,,RUNNING,,0:0,,,,2022-04-19T22:39:21,2022-04-19T22:39:21,2022-04-20T14:30:14,15:50:53,45Gn,,,,00:00:00,camembert
516453_14.extern,extern,,RUNNING,,0:0,,,,2022-04-19T22:39:21,2022-04-19T22:39:21,2022-04-20T14:30:14,15:50:53,45Gn,,,,00:00:00,camembert
516453_15,PuddinPcc_2022-04-19,gpu,RUNNING,None,0:0,,19331,3-00:00:00,2022-04-19T22:39:20,2022-04-19T22:39:21,2022-04-20T14:30:14,15:50:53,45Gn,,,,00:00:00,frazier-compute-01
516453_15.batch,batch,,RUNNING,,0:0,,,,2022-04-19T22:39:21,2022-04-19T22:39:21,2022-04-20T14:30:14,15:50:53,45Gn,,,,00:00:00,frazier-compute-01
516453_15.extern,extern,,RUNNING,,0:0,,,,2022-04-19T22:39:21,2022-04-19T22:39:21,2022-04-20T14:30:14,15:50:53,45Gn,,,,00:00:00,frazier-compute-01
516453_16,PuddinPcc_2022-04-19,gpu,RUNNING,None,0:0,,19331,3-00:00:00,2022-04-19T22:39:20,2022-04-19T22:39:21,2022-04-20T14:30:14,15:50:53,45Gn,,,,00:00:00,frazier-compute-01
516453_16.batch,batch,,RUNNING,,0:0,,,,2022-04-19T22:39:21,2022-04-19T22:39:21,2022-04-20T14:30:14,15:50:53,45Gn,,,,00:00:00,frazier-compute-01
516453_16.extern,extern,,RUNNING,,0:0,,,,2022-04-19T22:39:21,2022-04-19T22:39:21,2022-04-20T14:30:14,15:50:53,45Gn,,,,00:00:00,frazier-compute-01
