record,slice_name,total_texts,first_text_id,last_text_id,tmp_slice_path,final_slice_path,conllu_path,origin_filepath,data_origin_group,final_df_path,exclusions_path,slice_number,started_at,finished_at,parsing_time,slice_number_str,days,time,seconds,kept_df_mtime,excl_df_mtime,slice_df_mtime,conllu_mtime,kept_df_gzMB,excl_df_gzMB,slice_df_gzMB,conllu_MB,end_timedelta
29-001-0013,Pcc29_1,9999,pcc_eng_29_001.0001_x0000001,pcc_eng_29_001.9999_x0016002,pile_tables/slices/Pcc29/tmp/pile_29-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc29/pile_29-001_Pile-CC_df.pkl.gz,Pcc29.conll/pcc_eng_29-001.conllu,/share/compling/data/pile/train/29.jsonl,29,pile_tables/pile_29_Pile-CC_df.pkl.gz,pile_exclusions/pile_29_Pile-CC_excl.pkl.gz,1,2022-04-12 21:21:00,2022-04-12 22:13:00,0 days 00:51:34,001,0,0 days 00:51:34,3094,2022-03-27 02:12:00,2022-04-30 03:31:00,2022-04-12 21:17:00,2022-04-12 22:13:00,1015.2,0.1,9.3,376.9,0.0
28-001-0014,Pcc28_1,9999,pcc_eng_28_001.0001_x0000001,pcc_eng_28_001.9999_x0016230,pile_tables/slices/Pcc28/tmp/pile_28-001_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc28/pile_28-001_Pile-CC_df.pkl.gz,Pcc28.conll/pcc_eng_28-001.conllu,/share/compling/data/pile/train/28.jsonl,28,pile_tables/pile_28_Pile-CC_df.pkl.gz,pile_exclusions/pile_28_Pile-CC_excl.pkl.gz,1,2022-04-12 21:31:00,2022-04-12 22:13:00,0 days 00:41:45,001,0,0 days 00:41:45,2505,2022-04-02 06:13:00,2022-06-28 15:20:00,2022-04-12 21:27:00,2022-04-12 22:13:00,1014.1,1750.6,9.4,377.9,0.0
28-002-0016,Pcc28_2,9999,pcc_eng_28_002.0001_x0016232,pcc_eng_28_002.9999_x0032272,pile_tables/slices/Pcc28/tmp/pile_28-002_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc28/pile_28-002_Pile-CC_df.pkl.gz,Pcc28.conll/pcc_eng_28-002.conllu,/share/compling/data/pile/train/28.jsonl,28,pile_tables/pile_28_Pile-CC_df.pkl.gz,pile_exclusions/pile_28_Pile-CC_excl.pkl.gz,2,2022-04-12 22:13:00,2022-04-12 22:55:00,0 days 00:41:54,002,0,0 days 00:41:54,2514,2022-04-02 06:13:00,2022-06-28 15:20:00,2022-04-12 21:27:00,2022-04-12 22:55:00,1014.1,1750.6,9.3,375.3,0.0
29-002-0017,Pcc29_2,9999,pcc_eng_29_002.0001_x0016004,pcc_eng_29_002.9999_x0032274,pile_tables/slices/Pcc29/tmp/pile_29-002_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc29/pile_29-002_Pile-CC_df.pkl.gz,Pcc29.conll/pcc_eng_29-002.conllu,/share/compling/data/pile/train/29.jsonl,29,pile_tables/pile_29_Pile-CC_df.pkl.gz,pile_exclusions/pile_29_Pile-CC_excl.pkl.gz,2,2022-04-12 22:13:00,2022-04-12 23:06:00,0 days 00:53:08,002,0,0 days 00:53:08,3188,2022-03-27 02:12:00,2022-04-30 03:31:00,2022-04-12 21:17:00,2022-04-12 23:06:00,1015.2,0.1,9.6,393.9,0.0
28-003-0019,Pcc28_3,9999,pcc_eng_28_003.0001_x0032273,pcc_eng_28_003.9999_x0048538,pile_tables/slices/Pcc28/tmp/pile_28-003_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc28/pile_28-003_Pile-CC_df.pkl.gz,Pcc28.conll/pcc_eng_28-003.conllu,/share/compling/data/pile/train/28.jsonl,28,pile_tables/pile_28_Pile-CC_df.pkl.gz,pile_exclusions/pile_28_Pile-CC_excl.pkl.gz,3,2022-04-12 22:55:00,2022-04-12 23:37:00,0 days 00:41:52,003,0,0 days 00:41:52,2512,2022-04-02 06:13:00,2022-06-28 15:20:00,2022-04-12 21:27:00,2022-04-12 23:37:00,1014.1,1750.6,9.4,381.2,0.0
29-003-0021,Pcc29_3,9999,pcc_eng_29_003.0001_x0032275,pcc_eng_29_003.9999_x0048551,pile_tables/slices/Pcc29/tmp/pile_29-003_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc29/pile_29-003_Pile-CC_df.pkl.gz,Pcc29.conll/pcc_eng_29-003.conllu,/share/compling/data/pile/train/29.jsonl,29,pile_tables/pile_29_Pile-CC_df.pkl.gz,pile_exclusions/pile_29_Pile-CC_excl.pkl.gz,3,2022-04-12 23:06:00,2022-04-12 23:55:00,0 days 00:49:33,003,0,0 days 00:49:33,2973,2022-03-27 02:12:00,2022-04-30 03:31:00,2022-04-12 21:17:00,2022-04-12 23:55:00,1015.2,0.1,9.4,379.5,0.0
28-004-0022,Pcc28_4,9999,pcc_eng_28_004.0001_x0048541,pcc_eng_28_004.9999_x0064633,pile_tables/slices/Pcc28/tmp/pile_28-004_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc28/pile_28-004_Pile-CC_df.pkl.gz,Pcc28.conll/pcc_eng_28-004.conllu,/share/compling/data/pile/train/28.jsonl,28,pile_tables/pile_28_Pile-CC_df.pkl.gz,pile_exclusions/pile_28_Pile-CC_excl.pkl.gz,4,2022-04-12 23:37:00,2022-04-13 00:19:00,0 days 00:42:00,004,0,0 days 00:42:00,2520,2022-04-02 06:13:00,2022-06-28 15:20:00,2022-04-12 21:27:00,2022-04-13 00:19:00,1014.1,1750.6,9.6,390.6,0.0
29-004-0024,Pcc29_4,9999,pcc_eng_29_004.0001_x0048553,pcc_eng_29_004.9999_x0064721,pile_tables/slices/Pcc29/tmp/pile_29-004_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc29/pile_29-004_Pile-CC_df.pkl.gz,Pcc29.conll/pcc_eng_29-004.conllu,/share/compling/data/pile/train/29.jsonl,29,pile_tables/pile_29_Pile-CC_df.pkl.gz,pile_exclusions/pile_29_Pile-CC_excl.pkl.gz,4,2022-04-12 23:55:00,2022-04-13 00:47:00,0 days 00:51:33,004,0,0 days 00:51:33,3093,2022-03-27 02:12:00,2022-04-30 03:31:00,2022-04-12 21:17:00,2022-04-13 00:47:00,1015.2,0.1,9.3,377.4,0.0
28-005-0025,Pcc28_5,9999,pcc_eng_28_005.0001_x0064635,pcc_eng_28_005.9999_x0080777,pile_tables/slices/Pcc28/tmp/pile_28-005_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc28/pile_28-005_Pile-CC_df.pkl.gz,Pcc28.conll/pcc_eng_28-005.conllu,/share/compling/data/pile/train/28.jsonl,28,pile_tables/pile_28_Pile-CC_df.pkl.gz,pile_exclusions/pile_28_Pile-CC_excl.pkl.gz,5,2022-04-13 00:19:00,2022-04-13 01:00:00,0 days 00:41:52,005,0,0 days 00:41:52,2512,2022-04-02 06:13:00,2022-06-28 15:20:00,2022-04-12 21:27:00,2022-04-13 01:00:00,1014.1,1750.6,9.4,382.3,0.0
29-005-0026,Pcc29_5,9999,pcc_eng_29_005.0001_x0064722,pcc_eng_29_005.9999_x0080996,pile_tables/slices/Pcc29/tmp/pile_29-005_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc29/pile_29-005_Pile-CC_df.pkl.gz,Pcc29.conll/pcc_eng_29-005.conllu,/share/compling/data/pile/train/29.jsonl,29,pile_tables/pile_29_Pile-CC_df.pkl.gz,pile_exclusions/pile_29_Pile-CC_excl.pkl.gz,5,2022-04-13 00:47:00,2022-04-13 01:37:00,0 days 00:50:23,005,0,0 days 00:50:23,3023,2022-03-27 02:12:00,2022-04-30 03:31:00,2022-04-12 21:17:00,2022-04-13 01:37:00,1015.2,0.1,9.3,374.6,0.0
28-006-0027,Pcc28_6,9999,pcc_eng_28_006.0001_x0080778,pcc_eng_28_006.9999_x0096961,pile_tables/slices/Pcc28/tmp/pile_28-006_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc28/pile_28-006_Pile-CC_df.pkl.gz,Pcc28.conll/pcc_eng_28-006.conllu,/share/compling/data/pile/train/28.jsonl,28,pile_tables/pile_28_Pile-CC_df.pkl.gz,pile_exclusions/pile_28_Pile-CC_excl.pkl.gz,6,2022-04-13 01:00:00,2022-04-13 01:43:00,0 days 00:42:08,006,0,0 days 00:42:08,2528,2022-04-02 06:13:00,2022-06-28 15:20:00,2022-04-12 21:27:00,2022-04-13 01:43:00,1014.1,1750.6,9.4,383.4,0.0
28-007-0028,Pcc28_7,9999,pcc_eng_28_007.0001_x0096962,pcc_eng_28_007.9999_x0113064,pile_tables/slices/Pcc28/tmp/pile_28-007_Pile-CC_df.pkl.gz,pile_tables/slices/Pcc28/pile_28-007_Pile-CC_df.pkl.gz,Pcc28.conll/pcc_eng_28-007.conllu,/share/compling/data/pile/train/28.jsonl,28,pile_tables/pile_28_Pile-CC_df.pkl.gz,pile_exclusions/pile_28_Pile-CC_excl.pkl.gz,7,2022-04-13 01:43:00,2022-04-13 02:23:00,0 days 00:40:36,007,0,0 days 00:40:36,2436,2022-04-02 06:13:00,2022-06-28 15:20:00,2022-04-12 21:27:00,2022-04-13 02:23:00,1014.1,1750.6,9.3,378.6,0.0
